number,value,datetime_start,datetime_complete,duration,params_k,state
0,0.18472623491426768,2025-12-03 22:32:09.281282,2025-12-03 22:32:15.666949,0 days 00:00:06.385667,120,COMPLETE
1,0.17424893016987283,2025-12-03 22:32:15.667006,2025-12-03 22:32:19.137858,0 days 00:00:03.470852,40,COMPLETE
2,0.177357871111005,2025-12-03 22:32:19.137975,2025-12-03 22:32:24.286122,0 days 00:00:05.148147,200,COMPLETE
3,0.18311638266092553,2025-12-03 22:32:24.286174,2025-12-03 22:32:29.048387,0 days 00:00:04.762213,140,COMPLETE
4,0.1794290834613415,2025-12-03 22:32:29.048448,2025-12-03 22:32:33.110694,0 days 00:00:04.062246,80,COMPLETE
5,0.18553315080558938,2025-12-03 22:32:33.110732,2025-12-03 22:32:38.033760,0 days 00:00:04.923028,180,COMPLETE
6,0.1833466647564926,2025-12-03 22:32:38.033833,2025-12-03 22:32:42.903835,0 days 00:00:04.870002,180,COMPLETE
7,0.16503572290802776,2025-12-03 22:32:42.903878,2025-12-03 22:32:46.180519,0 days 00:00:03.276641,20,COMPLETE
8,0.18518905417200587,2025-12-03 22:32:46.180573,2025-12-03 22:32:51.367113,0 days 00:00:05.186540,200,COMPLETE
9,0.17229199663597122,2025-12-03 22:32:51.367155,2025-12-03 22:32:55.380270,0 days 00:00:04.013115,100,COMPLETE
