Experiment,Parameter,Value,Classifier,Train_Accuracy,CV_Accuracy,CV_Std,Test_Accuracy
Classifiers,Type,log_reg,log_reg,0.36341687744309037,0.28454482362039224,0.022445669108855523,0.30318181818181816
Classifiers,Type,svm_linear,svm_linear,0.3498505403541044,0.271094895335541,0.011908293201849903,0.2918181818181818
Classifiers,Type,svm_rbf,svm_rbf,0.5961140492067142,0.3016746974413886,0.017617669128865476,0.34
Classifiers,Type,rf,rf,1.0,0.24786976264599153,0.013413510431369612,0.2727272727272727
Detectors,Detector,SIFT,svm_linear,0.3489307886870545,0.2724720905792073,0.017243807687832225,0.2972727272727273
Detectors,Detector,ORB,svm_linear,0.24008278716798895,0.16729842094478925,0.010394778305947035,0.17909090909090908
Detectors,Detector,AKAZE,svm_linear,0.24703443510307496,0.17493705711155152,0.011070071360108086,0.1937244201909959
Detectors,Detector,DENSE_SIFT,svm_linear,0.38471264367816094,0.30540229885057474,0.0198275029150341,0.34545454545454546
Feature Count,nfeatures,50,svm_linear,0.35283973327201656,0.2750026769249073,0.014491473149303042,0.13954545454545456
Feature Count,nfeatures,100,svm_linear,0.3575534605656473,0.2736223751264103,0.01755423099750974,0.15954545454545455
Feature Count,nfeatures,250,svm_linear,0.36192228098413426,0.2702878520486738,0.015850131068421168,0.22954545454545455
Feature Count,nfeatures,500,svm_linear,0.353069671188779,0.27615230050299744,0.016521996825326478,0.28
Feature Count,nfeatures,1000,svm_linear,0.3591630259829846,0.27718585790486017,0.018990007385385834,0.30636363636363634
Codebook Size,k,32,svm_linear,0.290986433662911,0.2524677942799733,0.01630034626518373,0.2777272727272727
Codebook Size,k,64,svm_linear,0.3147850080478271,0.26419450999054817,0.015910686827044253,0.2722727272727273
Codebook Size,k,128,svm_linear,0.35525408139802256,0.272012386561176,0.017625441458403935,0.30954545454545457
Codebook Size,k,256,svm_linear,0.40365601287652336,0.2710923175560006,0.018165610444875916,0.30363636363636365
Codebook Size,k,512,svm_linear,0.4786157737410899,0.2748870073301475,0.01474949282701848,0.29818181818181816
Dense SIFT Step,Step Size,40,svm_linear,0.30770114942528737,0.23770114942528736,0.0060560643091124135,0.25136363636363634
Dense SIFT Step,Step Size,30,svm_linear,0.3295402298850575,0.24620689655172412,0.011623412257661699,0.29318181818181815
Dense SIFT Step,Step Size,20,svm_linear,0.3583908045977012,0.2774712643678161,0.013529082310815108,0.31727272727272726
Dense SIFT Step,Step Size,15,svm_linear,0.3728735632183908,0.2951724137931035,0.00990508529784392,0.3381818181818182
Dense SIFT Step,Step Size,10,svm_linear,0.3894252873563218,0.30551724137931036,0.01330853818164004,0.345
Dense SIFT Scales,Scales,Small,svm_linear,0.3545977011494253,0.2710344827586207,0.008245474222740667,0.2990909090909091
Dense SIFT Scales,Scales,Large,svm_linear,0.3618390804597701,0.27793103448275863,0.004991735804737582,0.315
Dense SIFT Scales,Scales,Multi,svm_linear,0.37873563218390804,0.2982758620689655,0.010916515007433349,0.3431818181818182
PCA,Dimensions,128 (Original),svm_linear,0.35663370889859736,0.27546066242324496,0.020290851816152044,0.29
PCA,Dimensions,80,svm_linear,0.36180731202575306,0.2800616684182348,0.0149094109766704,0.295
PCA,Dimensions,64,svm_linear,0.35996780869165323,0.2838531855406397,0.020257040330511723,0.3009090909090909
PCA,Dimensions,32,svm_linear,0.353529547022304,0.26603365654722955,0.016754267652617106,0.30863636363636365
PCA,Dimensions,16,svm_linear,0.3539894228558289,0.2643092542285499,0.018366384191906587,0.28545454545454546
PCA,Dimensions,8,svm_linear,0.3432973097263739,0.2655757371458032,0.010579697474082739,0.2859090909090909
Spatial Pyramid,Levels,1,svm_linear,0.3629570016095654,0.2837382430119041,0.019889729981530605,0.30636363636363634
Spatial Pyramid,Levels,2,svm_linear,0.5085077029202115,0.2616660387460094,0.01757285604504705,0.2877272727272727
Spatial Pyramid,Levels,3,svm_linear,0.8013336399172224,0.21062170754760628,0.011840772939038515,0.24136363636363636
Scaling,Method,None,svm_linear,0.36019774660841575,0.26902242668200116,0.020258874729011993,0.3009090909090909
Scaling,Method,l2,svm_linear,0.3596229018165095,0.2750023464403508,0.013141516534974912,0.31272727272727274
Scaling,Method,hellinger,svm_linear,0.3597378707748908,0.2753453894099529,0.019771594177820297,0.29863636363636364
Scaling,Method,l1,svm_linear,0.30616233616923433,0.26017039783730905,0.018587522541397863,0.2786363636363636
Scaling,Method,standard,svm_linear,0.3543343297309726,0.2667220558783288,0.023118664807880294,0.2840909090909091
Scaling,Method,minmax,svm_linear,0.35559898827316627,0.272701182473743,0.019140387017666943,0.2731818181818182
