run_id,model,dropout,optimizer,learning_rate,batch_size,weight_decay,epochs,best_val_acc,final_val_acc
md6kqa18,squeezenet,0.3,adam,0.001,64,0.0,20,,
ezuut76k,resnet18,0.5,adam,0.0003,128,0.0001,20,,
p5i7yn70,resnet18,0.0,sgd,0.0001,64,0.0,20,,
obxnn2p8,resnet18,0.0,adam,0.0001,128,0.0,20,,
uxu6yawg,squeezenet,0.0,adam,0.0003,64,0.0001,20,,
7byh38pj,resnet18,0.0,adam,0.0003,32,0.0,20,,
9s4xng2k,resnet18,0.5,sgd,0.003,128,0.0001,20,0.9375,0.9375
rfnkf2yz,squeezenet,0.0,adam,0.001,64,0.0001,20,0.8625,0.8625
i6nqyf5z,squeezenet,0.0,sgd,0.0001,128,0.0001,20,0.7875,0.7875
8fxl91p5,resnet18,0.3,adam,0.0001,128,0.0,20,0.9625,0.9625
syvgzn7z,resnet18,0.5,adam,0.0003,128,0.0001,20,0.9625,0.9625
8dkff84n,resnet18,0.5,adam,0.0003,128,0.0001,20,0.9625,0.9625
hys48k18,resnet18,0.5,adam,0.001,128,0.0001,20,0.925,0.8875
4d0b46zc,squeezenet,0.3,adam,0.0003,32,0.0,20,0.925,0.7875
hp3qp592,squeezenet,0.3,adam,0.001,64,0.0,20,0.9,0.85
qe8po43v,squeezenet,0.5,adam,0.0003,128,0.0001,20,0.9125,0.85
es0s2zmi,squeezenet,0.5,adam,0.0003,128,0.0,20,0.925,0.8625
vd44upae,resnet18,0.5,adam,0.0003,128,0.0001,20,0.9625,0.9625
wr8lqehg,resnet18,0.5,sgd,0.0003,128,0.0001,20,0.8375,0.8375
16u5b6z9,squeezenet,0.3,adam,0.0001,128,0.0001,20,0.875,0.8375
cxlp91fg,squeezenet,0.5,sgd,0.001,128,0.0001,20,0.9,0.875
lm2tm073,squeezenet,0.5,sgd,0.0003,128,0.0,20,0.8625,0.85
5yrbqf9g,resnet18,0.3,adam,0.0001,128,0.0001,20,0.9625,0.9625
jwzhzb88,resnet18,0.5,sgd,0.0003,128,0.0001,20,0.8375,0.8375
zdg12o6b,resnet18,0.5,adam,0.0003,128,0.0001,20,0.9625,0.9625
nxfux5f6,resnet18,0.5,sgd,0.0001,128,0.0001,20,0.375,0.375
3tmuq01e,squeezenet,0.3,sgd,0.001,64,0.0001,20,0.9125,0.8875
zm9e6mwd,resnet18,0.5,adam,0.0001,128,0.0,20,0.9625,0.9625
36s5arfv,resnet18,0.5,adam,0.003,64,0.0001,20,0.875,0.6125
ec8ntzdh,squeezenet,0.0,sgd,0.0001,64,0.0001,20,0.8625,0.8625
0wip2ops,resnet18,0.3,adam,0.001,32,0.0001,20,0.925,0.925
lhmi4rgo,resnet18,0.0,sgd,0.001,32,0.0001,20,0.925,0.9125
iu7w9wfc,squeezenet,0.3,sgd,0.0003,128,0.0001,20,0.8625,0.85
outphkdc,squeezenet,0.0,sgd,0.003,128,0.0,20,0.925,0.875
tnt7le2h,squeezenet,0.5,sgd,0.0001,128,0.0,20,,
pijhx40g,resnet18,0.5,adam,0.003,32,0.0001,20,,
cw5m2566,resnet18,0.0,sgd,0.0001,32,0.0,20,,
x3fltp6x,resnet18,0.0,adam,0.0001,32,0.0001,20,0.9625,0.9625
efgyd2xj,resnet18,0.5,sgd,0.001,64,0.0,20,0.9125,0.9125
3ana4gm7,squeezenet,0.3,adam,0.0001,32,0.0,20,0.9,0.875
17tk6owj,resnet18,0.0,sgd,0.0001,64,0.0001,20,0.7,0.7
tqkkl4ki,resnet18,0.5,sgd,0.003,32,0.0001,20,0.925,0.925
uoxrd4qy,resnet18,0.0,adam,0.0003,32,0.0001,20,0.9375,0.8375
hx5u2cdx,squeezenet,0.3,sgd,0.001,32,0.0001,20,0.9125,0.9125
lg8j991o,squeezenet,0.0,adam,0.0001,128,0.0,20,0.875,0.8375
seekifiv,squeezenet,0.5,adam,0.003,128,0.0,20,0.1875,0.125
xxrozo9n,squeezenet,0.5,sgd,0.001,32,0.0001,20,0.9125,0.9125
9lrhdg4q,resnet18,0.5,sgd,0.001,32,0.0001,20,0.9125,0.9125
a6twhsr7,resnet18,0.3,adam,0.0001,32,0.0001,20,0.9625,0.9625
ll0y3ad2,squeezenet,0.3,sgd,0.0001,32,0.0001,20,0.8625,0.8375
vgnwh50m,resnet18,0.3,adam,0.0001,32,0.0001,20,0.9625,0.9625
y77q7jd8,resnet18,0.3,sgd,0.0001,32,0.0001,20,0.875,0.875
m7sdie4w,resnet18,0.3,sgd,0.0001,32,0.0001,20,0.875,0.875
5vr73780,squeezenet,0.3,sgd,0.0001,32,0.0001,20,0.8625,0.8375
b3zjiuf1,resnet18,0.3,adam,0.0001,64,0.0001,20,0.9625,0.9625
5u35nas1,resnet18,0.3,adam,0.0001,64,0.0001,20,0.9625,0.9625
7x4n4g3t,resnet18,0.3,adam,0.0001,32,0.0001,20,0.9625,0.9625
9uounvmv,resnet18,0.3,adam,0.0001,64,0.0001,20,0.9625,0.9625
tga6mndj,resnet18,0.3,adam,0.0001,64,0.0001,20,0.9625,0.9625
1n12s5lp,resnet18,0.3,adam,0.0001,64,0.0001,20,0.9625,0.9625
vlxglr4d,resnet18,0.3,adam,0.0001,32,0.0001,20,0.9625,0.9625
x5ul3f5d,resnet18,0.5,adam,0.0001,64,0.0001,20,0.9625,0.9625
1y7xbwt1,resnet18,0.3,adam,0.0001,64,0.0001,20,0.9625,0.9625
j28ixm5p,resnet18,0.3,adam,0.0001,32,0.0001,20,0.9625,0.9625
24uvgwqm,resnet18,0.3,adam,0.0001,32,0.0001,20,0.9625,0.9625
4ykpm8rb,resnet18,0.3,adam,0.0001,32,0.0001,20,0.9625,0.9625
xjrzswgg,squeezenet,0.3,adam,0.0001,32,0.0001,20,0.9,0.8375
